City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Wind Speed,Current Description
267,Mount Gambier,-37.8333,140.7667,44.51,87,14,AU,10.36,few clouds
268,Hasaki,35.7333,140.8333,79.29,84,13,JP,6.29,few clouds
269,Quatre Cocos,-20.2078,57.7625,68.11,68,52,MU,15.61,broken clouds
270,Hermanus,-34.4187,19.2345,57.9,79,94,ZA,2.19,overcast clouds
271,Shikhazany,55.5605,47.393,65.03,67,60,RU,5.12,broken clouds
272,Khartoum,15.5518,32.5324,88.02,47,67,SD,1.01,broken clouds
273,Santa Rosa,14.3122,121.1114,83.1,83,100,PH,14.7,overcast clouds
274,Jieshi,22.8134,115.8257,83.95,87,100,CN,6.02,overcast clouds
275,Monrovia,6.3005,-10.7969,77.13,77,100,LR,9.22,overcast clouds
276,Dedovichi,57.5517,29.9502,61.38,75,100,RU,5.21,light rain
277,Tautira,-17.7333,-149.15,80.62,63,43,PF,7.74,scattered clouds
278,Sawtell,-30.3833,153.1,63.19,77,94,AU,11.5,overcast clouds
279,Cockburn Town,21.4612,-71.1419,85.96,70,40,TC,18.41,scattered clouds
280,Husavik,66.0449,-17.3389,55.31,73,59,IS,2.15,broken clouds
281,Zhangjiakou,40.81,114.8794,61.29,78,17,CN,4.0,few clouds
282,Boiu Mare,47.4,23.5833,68.47,51,87,RO,1.54,overcast clouds
283,Souillac,-20.5167,57.5167,68.38,94,75,MU,11.5,broken clouds
284,Acarau,-2.8856,-40.12,78.46,77,83,BR,13.4,broken clouds
285,Canmore,51.0834,-115.3521,91.24,22,99,CA,4.61,overcast clouds
286,Kudat,6.8837,116.8477,77.29,94,40,MY,5.75,scattered clouds
287,Benguela,-12.5763,13.4055,70.43,88,3,AO,3.11,clear sky
288,Iqaluit,63.7506,-68.5145,53.33,76,90,CA,3.0,overcast clouds
289,Chicama,-7.8447,-79.1469,64.94,68,4,PE,8.95,clear sky
290,Waynesville,35.4887,-82.9887,81.27,79,90,US,3.0,overcast clouds
291,Awjilah,29.1081,21.2869,87.73,24,3,LY,10.67,clear sky
292,Aksu,41.1231,80.2644,75.02,18,62,CN,5.7,broken clouds
293,Marau,-28.4492,-52.2,50.09,80,5,BR,1.81,clear sky
294,Calama,-22.4667,-68.9333,68.49,14,93,CL,18.41,overcast clouds
295,Corn Island,12.1694,-83.0418,82.13,81,40,NI,18.66,scattered clouds
296,Portland,45.5234,-122.6762,96.21,39,20,US,1.01,few clouds
297,Berlevag,70.8578,29.0864,46.63,96,100,NO,18.03,light rain
298,Victoria,22.2855,114.1577,85.32,89,93,HK,3.0,overcast clouds
299,Saint-Francois,46.4154,3.9054,60.24,81,0,FR,2.3,clear sky
300,Almaznyy,48.0448,40.045,69.94,53,58,RU,7.16,broken clouds
301,Touros,-5.1989,-35.4608,79.7,74,5,BR,19.42,clear sky
302,San Cristobal,7.7669,-72.225,82.58,89,76,VE,6.13,broken clouds
303,Little Chute,44.28,-88.3184,75.51,55,75,US,3.0,broken clouds
304,Puerto Escondido,15.85,-97.0667,86.68,68,68,MX,5.7,broken clouds
305,Benalla,-36.55,145.9833,33.85,90,0,AU,4.88,clear sky
